workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	glibc	1	1.15	91924	-	-
redis_setget	glibc	1	0.55	8192	-	-
redis_server_rss_kb	glibc	1	-	NA	NA	server
larson	glibc	1	4.136	272256	272256	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	1	-	-	-	2095346
xmalloc_test	glibc	1	2.04	199860	-	-
cache_scratch	glibc	1	1.08	3456	-	-
mstress	glibc	1	0.21	350780	-	-
sh6bench	glibc	1	0.93	424576	-	-
python_alloc	glibc	2	1.14	91940	-	-
redis_setget	glibc	2	0.54	7936	-	-
redis_server_rss_kb	glibc	2	-	NA	NA	server
larson	glibc	2	4.126	272512	272512	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	2	-	-	-	2095544
xmalloc_test	glibc	2	2.04	198200	-	-
cache_scratch	glibc	2	1.08	3456	-	-
mstress	glibc	2	0.21	362556	-	-
sh6bench	glibc	2	0.94	424576	-	-
python_alloc	glibc	3	1.17	91848	-	-
redis_setget	glibc	3	0.55	7936	-	-
redis_server_rss_kb	glibc	3	-	NA	NA	server
larson	glibc	3	4.142	272384	272384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	3	-	-	-	2095542
xmalloc_test	glibc	3	2.04	198488	-	-
cache_scratch	glibc	3	1.09	3456	-	-
mstress	glibc	3	0.21	356272	-	-
sh6bench	glibc	3	0.95	424576	-	-
python_alloc	glibc	4	1.18	91920	-	-
redis_setget	glibc	4	0.55	8064	-	-
redis_server_rss_kb	glibc	4	-	NA	NA	server
larson	glibc	4	4.143	272384	272384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	4	-	-	-	2095284
xmalloc_test	glibc	4	2.04	199456	-	-
cache_scratch	glibc	4	1.09	3584	-	-
mstress	glibc	4	0.21	363020	-	-
sh6bench	glibc	4	0.93	424320	-	-
python_alloc	glibc	5	1.16	91924	-	-
redis_setget	glibc	5	0.55	8064	-	-
redis_server_rss_kb	glibc	5	-	NA	NA	server
larson	glibc	5	4.150	272640	272640	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	5	-	-	-	2095546
xmalloc_test	glibc	5	2.05	198560	-	-
cache_scratch	glibc	5	1.09	3456	-	-
mstress	glibc	5	0.21	362320	-	-
sh6bench	glibc	5	0.93	424576	-	-
python_alloc	hz10	1	0.94	107136	-	-
redis_setget	hz10	1	0.54	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.174	286464	286464	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095606
xmalloc_test	hz10	1	2.00	13312	-	-
cache_scratch	hz10	1	1.09	3968	-	-
mstress	hz10	1	0.22	209320	-	-
sh6bench	hz10	1	0.69	321920	-	-
python_alloc	hz10	2	0.89	106772	-	-
redis_setget	hz10	2	0.56	8064	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.184	282368	282368	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095617
xmalloc_test	hz10	2	2.00	13568	-	-
cache_scratch	hz10	2	1.10	3968	-	-
mstress	hz10	2	0.22	204268	-	-
sh6bench	hz10	2	0.69	320896	-	-
python_alloc	hz10	3	0.89	106836	-	-
redis_setget	hz10	3	0.55	7936	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.188	283648	283648	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095551
xmalloc_test	hz10	3	2.00	13056	-	-
cache_scratch	hz10	3	1.09	3968	-	-
mstress	hz10	3	0.21	203676	-	-
sh6bench	hz10	3	0.70	321280	-	-
python_alloc	hz10	4	0.90	106620	-	-
redis_setget	hz10	4	0.56	8192	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.189	283776	283776	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095617
xmalloc_test	hz10	4	2.00	13184	-	-
cache_scratch	hz10	4	1.09	3968	-	-
mstress	hz10	4	0.21	202068	-	-
sh6bench	hz10	4	0.70	320256	-	-
python_alloc	hz10	5	0.92	106668	-	-
redis_setget	hz10	5	0.55	8192	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.186	285952	285952	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095552
xmalloc_test	hz10	5	2.00	14208	-	-
cache_scratch	hz10	5	1.10	4096	-	-
mstress	hz10	5	0.22	209688	-	-
sh6bench	hz10	5	0.71	318336	-	-
python_alloc	hz10-coarse	1	0.92	117020	-	-
redis_setget	hz10-coarse	1	0.55	8064	-	-
redis_server_rss_kb	hz10-coarse	1	-	NA	NA	server
larson	hz10-coarse	1	4.137	286464	286464	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	1	-	-	-	2095613
xmalloc_test	hz10-coarse	1	2.00	13184	-	-
cache_scratch	hz10-coarse	1	1.11	3968	-	-
mstress	hz10-coarse	1	0.21	207332	-	-
sh6bench	hz10-coarse	1	0.67	323456	-	-
python_alloc	hz10-coarse	2	0.91	117024	-	-
redis_setget	hz10-coarse	2	0.55	7936	-	-
redis_server_rss_kb	hz10-coarse	2	-	NA	NA	server
larson	hz10-coarse	2	4.186	290176	290176	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	2	-	-	-	2095606
xmalloc_test	hz10-coarse	2	2.00	13184	-	-
cache_scratch	hz10-coarse	2	1.11	3968	-	-
mstress	hz10-coarse	2	0.22	201916	-	-
sh6bench	hz10-coarse	2	0.68	322816	-	-
python_alloc	hz10-coarse	3	0.91	116832	-	-
redis_setget	hz10-coarse	3	0.55	8064	-	-
redis_server_rss_kb	hz10-coarse	3	-	NA	NA	server
larson	hz10-coarse	3	4.185	284160	284160	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	3	-	-	-	2095616
xmalloc_test	hz10-coarse	3	2.00	13568	-	-
cache_scratch	hz10-coarse	3	1.10	3968	-	-
mstress	hz10-coarse	3	0.21	204932	-	-
sh6bench	hz10-coarse	3	0.67	323072	-	-
python_alloc	hz10-coarse	4	0.90	116792	-	-
redis_setget	hz10-coarse	4	0.55	8064	-	-
redis_server_rss_kb	hz10-coarse	4	-	NA	NA	server
