workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
python_alloc	glibc	1	1.21	92188	-	-
redis_setget	glibc	1	0.52	8064	-	-
redis_server_rss_kb	glibc	1	-	NA	NA	server
larson	glibc	1	4.133	272768	272768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	1	-	-	-	2095345
xmalloc_test	glibc	1	2.04	199720	-	-
cache_scratch	glibc	1	1.09	3456	-	-
mstress	glibc	1	0.21	363656	-	-
sh6bench	glibc	1	0.95	424704	-	-
python_alloc	glibc	2	1.21	92096	-	-
redis_setget	glibc	2	0.54	8192	-	-
redis_server_rss_kb	glibc	2	-	NA	NA	server
larson	glibc	2	4.149	272512	272512	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	2	-	-	-	2095412
xmalloc_test	glibc	2	2.04	199356	-	-
cache_scratch	glibc	2	1.10	3456	-	-
mstress	glibc	2	0.22	364492	-	-
sh6bench	glibc	2	0.95	424960	-	-
python_alloc	glibc	3	1.20	92244	-	-
redis_setget	glibc	3	0.52	8064	-	-
redis_server_rss_kb	glibc	3	-	NA	NA	server
larson	glibc	3	4.144	272640	272640	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	3	-	-	-	2095484
xmalloc_test	glibc	3	2.04	197968	-	-
cache_scratch	glibc	3	1.10	3456	-	-
mstress	glibc	3	0.22	355768	-	-
sh6bench	glibc	3	0.97	424576	-	-
python_alloc	glibc	4	1.22	92000	-	-
redis_setget	glibc	4	0.52	8192	-	-
redis_server_rss_kb	glibc	4	-	NA	NA	server
larson	glibc	4	4.147	272512	272512	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	4	-	-	-	2095413
xmalloc_test	glibc	4	2.04	198016	-	-
cache_scratch	glibc	4	1.10	3328	-	-
mstress	glibc	4	0.21	356736	-	-
sh6bench	glibc	4	0.95	424448	-	-
python_alloc	glibc	5	1.22	92280	-	-
redis_setget	glibc	5	0.53	8064	-	-
redis_server_rss_kb	glibc	5	-	NA	NA	server
larson	glibc	5	4.148	272768	272768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	glibc	5	-	-	-	2095471
xmalloc_test	glibc	5	2.04	198224	-	-
cache_scratch	glibc	5	1.11	3456	-	-
mstress	glibc	5	0.21	363524	-	-
sh6bench	glibc	5	0.93	424576	-	-
python_alloc	hz10	1	0.86	106836	-	-
redis_setget	hz10	1	0.54	8064	-	-
redis_server_rss_kb	hz10	1	-	NA	NA	server
larson	hz10	1	4.136	286976	286976	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	1	-	-	-	2095550
xmalloc_test	hz10	1	2.00	13056	-	-
cache_scratch	hz10	1	1.09	3968	-	-
mstress	hz10	1	0.22	206616	-	-
sh6bench	hz10	1	0.47	318976	-	-
python_alloc	hz10	2	0.85	106764	-	-
redis_setget	hz10	2	0.54	7936	-	-
redis_server_rss_kb	hz10	2	-	NA	NA	server
larson	hz10	2	4.192	282624	282624	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	2	-	-	-	2095611
xmalloc_test	hz10	2	2.00	12928	-	-
cache_scratch	hz10	2	1.10	3840	-	-
mstress	hz10	2	0.21	202972	-	-
sh6bench	hz10	2	0.48	319488	-	-
python_alloc	hz10	3	0.86	106840	-	-
redis_setget	hz10	3	0.55	8320	-	-
redis_server_rss_kb	hz10	3	-	NA	NA	server
larson	hz10	3	4.190	285180	285180	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	3	-	-	-	2095548
xmalloc_test	hz10	3	2.00	13824	-	-
cache_scratch	hz10	3	1.10	3968	-	-
mstress	hz10	3	0.21	204416	-	-
sh6bench	hz10	3	0.47	320128	-	-
python_alloc	hz10	4	0.85	106892	-	-
redis_setget	hz10	4	0.54	8064	-	-
redis_server_rss_kb	hz10	4	-	NA	NA	server
larson	hz10	4	4.182	283896	283896	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	4	-	-	-	2095605
xmalloc_test	hz10	4	2.00	12928	-	-
cache_scratch	hz10	4	1.10	3968	-	-
mstress	hz10	4	0.21	207268	-	-
sh6bench	hz10	4	0.49	317440	-	-
python_alloc	hz10	5	0.85	106712	-	-
redis_setget	hz10	5	0.56	8192	-	-
redis_server_rss_kb	hz10	5	-	NA	NA	server
larson	hz10	5	4.187	284404	284404	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10	5	-	-	-	2095616
xmalloc_test	hz10	5	2.00	14208	-	-
cache_scratch	hz10	5	1.10	3968	-	-
mstress	hz10	5	0.21	203176	-	-
sh6bench	hz10	5	0.48	318592	-	-
python_alloc	hz10-coarse	1	0.86	116804	-	-
redis_setget	hz10-coarse	1	0.54	7936	-	-
redis_server_rss_kb	hz10-coarse	1	-	NA	NA	server
larson	hz10-coarse	1	4.183	286336	286336	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	1	-	-	-	2095611
xmalloc_test	hz10-coarse	1	2.00	13440	-	-
cache_scratch	hz10-coarse	1	1.10	3968	-	-
mstress	hz10-coarse	1	0.22	203528	-	-
sh6bench	hz10-coarse	1	0.50	321920	-	-
python_alloc	hz10-coarse	2	0.91	116780	-	-
redis_setget	hz10-coarse	2	0.54	8064	-	-
redis_server_rss_kb	hz10-coarse	2	-	NA	NA	server
larson	hz10-coarse	2	4.173	287616	287616	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	2	-	-	-	2095660
xmalloc_test	hz10-coarse	2	2.00	13184	-	-
cache_scratch	hz10-coarse	2	1.09	4096	-	-
mstress	hz10-coarse	2	0.21	201740	-	-
sh6bench	hz10-coarse	2	0.50	321920	-	-
python_alloc	hz10-coarse	3	0.86	117028	-	-
redis_setget	hz10-coarse	3	0.55	8192	-	-
redis_server_rss_kb	hz10-coarse	3	-	NA	NA	server
larson	hz10-coarse	3	4.167	286720	286720	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	3	-	-	-	2095547
xmalloc_test	hz10-coarse	3	2.00	12800	-	-
cache_scratch	hz10-coarse	3	1.10	3968	-	-
mstress	hz10-coarse	3	0.21	208744	-	-
sh6bench	hz10-coarse	3	0.49	323328	-	-
python_alloc	hz10-coarse	4	0.86	116992	-	-
redis_setget	hz10-coarse	4	0.54	8064	-	-
redis_server_rss_kb	hz10-coarse	4	-	NA	NA	server
larson	hz10-coarse	4	4.186	288640	288640	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	4	-	-	-	2095552
xmalloc_test	hz10-coarse	4	2.00	13184	-	-
cache_scratch	hz10-coarse	4	1.12	3968	-	-
mstress	hz10-coarse	4	0.21	203252	-	-
sh6bench	hz10-coarse	4	0.51	321024	-	-
python_alloc	hz10-coarse	5	0.86	116936	-	-
redis_setget	hz10-coarse	5	0.54	8192	-	-
redis_server_rss_kb	hz10-coarse	5	-	NA	NA	server
larson	hz10-coarse	5	4.175	283392	283392	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	5	-	-	-	2095610
xmalloc_test	hz10-coarse	5	2.00	13056	-	-
cache_scratch	hz10-coarse	5	1.10	3968	-	-
mstress	hz10-coarse	5	0.21	202468	-	-
sh6bench	hz10-coarse	5	0.49	322816	-	-
python_alloc	hz10-base	1	0.86	116760	-	-
redis_setget	hz10-base	1	0.54	8192	-	-
redis_server_rss_kb	hz10-base	1	-	NA	NA	server
larson	hz10-base	1	4.694	9025920	9025920	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	1	-	-	-	1244807
xmalloc_test	hz10-base	1	2.00	12928	-	-
cache_scratch	hz10-base	1	1.13	3968	-	-
mstress	hz10-base	1	0.26	404712	-	-
sh6bench	hz10-base	1	0.47	324608	-	-
python_alloc	hz10-base	2	0.88	116680	-	-
redis_setget	hz10-base	2	0.55	7936	-	-
redis_server_rss_kb	hz10-base	2	-	NA	NA	server
larson	hz10-base	2	4.053	9198208	9198208	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	2	-	-	-	1268380
xmalloc_test	hz10-base	2	2.00	12928	-	-
cache_scratch	hz10-base	2	1.13	3968	-	-
mstress	hz10-base	2	0.25	403524	-	-
sh6bench	hz10-base	2	0.49	324608	-	-
python_alloc	hz10-base	3	0.88	116892	-	-
redis_setget	hz10-base	3	0.55	8192	-	-
redis_server_rss_kb	hz10-base	3	-	NA	NA	server
larson	hz10-base	3	4.123	9184000	9184000	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
